# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[O/Fe]	[C/Fe]
BD+20_3603	G.S.Bai+,AAP, 425, 671, 2004	17 54 43.20	+20 16 16.0	6138	3.95	-2.09	-2.09	0.8	
BD+20_3603	J.P.Fulbright+,AJ, 120, 1841, 2000	17 54 43.20	+20 16 16.0	6175	4	-2	-2.09		
BD+20_3603	C.Charbonnel+,AAP, 442, 961, 2005	17 54 43.20	+20 16 16.0	6212	4	-2.09	-2.09		
BD+20_3603	R.Smiljanic+,AAP, 499, 103, 2009	17 54 43.20	+20 16 16.0	6175	3.99	-2	-2		
BD+20_3603	A.E.GarciaPerez+,AAP, 504, 213, 2009	17 54 43.20	+20 16 16.0	6092	4.04	-2.22	-2.22		
BD+23_3130	G.Israelian+,ApJ, 507, 805, 1998			5130	2.5	-2.9	-2.73	1.24	
BD+23_3130	D.K.Lai+,ApJ, 667, 1185, 2007	17 32 41.60	+23 44 12.0	5224	2.82	-2.59	-2.42		0.26
BD+23_3130	J.P.Fulbright+,ApJ, 595, 1154, 2003	17 32 41.60	+23 44 12.0	5175	2.96	-2.7	-2.49	0.78	
BD+23_3130	Y.Takeda+,PASJ, 63, S537, 2011	17 32 41.60	+23 44 12.0	5000	2.2	-2.6	-2.6		
BD+23_3130	T.V.Mishenina+,AAP, 396, 189, 2002	17 32 41.60	+23 44 12.0			-2.61	-2.61		
BD+23_3130	T.V.Mishenina+,AAP, 370, 951, 2001	17 32 41.60	+23 44 12.0	5100	2.25	-2.62	-2.62		
BD+23_3130	G.Israelian+,ApJ, 551, 833, 2001	17 32 41.60	+23 44 12.0				-2.43	1.22	
BD+23_3130	J.P.Fulbright+,AJ, 120, 1841, 2000	17 32 41.60	+23 44 12.0	5000	2.2	-2.6	-2.68		
BD+23_3130	D.K.Lai+,ApJ, 681, 1524, 2008	17 32 41.60	+23 44 12.0	5285	2.83	-2.6	-2.58	0.69	0.2
BD+23_3130	G.Israelian+,AAP, 421, 649, 2004			5154	2.93	-2.66	-2.49		
BD+23_3130	R.Cayrel+,NewAR, 45, 533, 2001	17 32 41.60	+23 44 12.0	5150	2.6	-2.62	-2.62	0.85	
BD+24_1676	A.M.Boesgaard+,ApJ, 743, 140, 2011			6125	3.74	-2.55	-2.55	0.55	
BD+24_1676	A.Hosford+,AAP, 493, 601, 2009	07 30 41.26	+24 05 10.2	6296	4.47	-2.53	-2.6		
BD+24_1676	R.Smiljanic+,AAP, 646, A70, 2021	07 30 41.26	+24 05 10.23	6500	4.05	-2.35	-2.35		
BD+24_1676	E.Arnone+,AAP, 430, 507, 2005	07 30 41.26	+24 05 10.2	6170	3.7		-2.6		
BD+24_1676	I.U.Roederer+,AJ, 147, 136, 2014	07 30 41.26	+24 05 10.2	6140	3.75	-2.54	-2.7	0.3	0.46
BD+24_1676	I.I.Ivans+,ApJ, 592, 906, 2003	07 30 41.26	+24 05 10.2	6250	3.45	-2.49	-2.48	1.09	
BD+24_1676	C.Charbonnel+,AAP, 442, 961, 2005	07 30 41.26	+24 05 10.2	6250	3.85	-2.65	-2.65		
BD+24_1676	D.K.Lai+,ApJ, 681, 1524, 2008	07 30 41.26	+24 05 10.2	6241	3.81	-2.6	-2.63	0.79	0.5
