# Object	Reference	RA	Decl	Teff	logg	Metallicity	metal	[C/Fe]	[Eu/Fe]	[Ba/Fe]	[Fe/H]
BD+17_3248	J.P.Fulbright+,ApJ, 595, 1154, 2003	17 28 14.47	+17 30 35.9	5025	2.23	-2	-2				-2.01
BD+17_3248	M.Spite+,AAP, 541, A143, 2012	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07				-2.07
BD+17_3248	D.L.Burris+,ApJ, 544, 302, 2000	17 28 14.47	+17 30 35.9	5250	2.3	-1.8	-1.8		0.78	0.75	-1.85
BD+17_3248	J.J.Cowan+,ApJ, 572, 861, 2002	17 28 14.47	+17 30 35.9	5200	1.8	-2	-2	-0.37	0.87	0.32	-2.06
BD+17_3248	S.M.Andrievsky+,AAP, 464, 1081, 2007	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07				-2.07
BD+17_3248	M.Spite+,AAP, 455, 291, 2006	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07	-0.24			-2.07
BD+17_3248	I.U.Roederer+,ApJ, 698, 1963, 2009	17 28 14.47	+17 30 35.9	5200	1.8	-2.08	-2.08		0.78		-2.08
BD+17_3248	M.Spite+,AAP, 528, A9, 2011	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07				-2.07
BD+17_3248	J.J.Cowan+,ApJ, 627, 238, 2005	17 28 14.47	+17 30 35.9	5200	1.8	-2.08	-2.08		0.92		-2.11
BD+18_3423	B.E.Reddy+,MNRAS, 367, 1329, 2006	17 38 15.61	+18 33 25.5	5760	4.59	-0.87	-0.87	0.43	0.5	0.1	-0.92
BD+19_1185	A.M.Boesgaard+,ApJ, 743, 140, 2011			5835	4.62	-0.92	-0.92				-0.92
BD+19_1185	I.U.Roederer+,AJ, 147, 136, 2014	06 03 14.86	+19 21 38.7	5440	4.3	-1.25	-1.25				
BD+19_1185	I.U.Roederer+,ApJ, 724, 975, 2010	06 03 14.86	+19 21 38.7								-1.09
BD+19_1185	J.Simmerer+,ApJ, 617, 1091, 2004	06 03 14.86	+19 21 38.7	5500	4.19	-1.09	-1.09	-0.07	0.34		-1.09
BD+20_2594	B.E.Reddy+,MNRAS, 367, 1329, 2006	11 23 16.23	+19 53 37.7	5886	4.6	-0.94	-0.94	0.52	0.54	0.2	-0.99
BD+20_2594	T.Gehren+,AAP, 451, 1065, 2006	11 23 16.23	+19 53 37.7	5900	4.3	-0.81	-0.81				-0.8
BD+22_2442	B.E.Reddy+,MNRAS, 367, 1329, 2006	12 08 54.66	+21 47 19.4	5333	3.71	-0.83	-0.83	0.6	0.26	-0.18	-0.88
BD+23_3130	G.Israelian+,ApJ, 507, 805, 1998			5130	2.5	-2.9	-2.9				-2.73
BD+23_3130	D.K.Lai+,ApJ, 667, 1185, 2007	17 32 41.60	+23 44 12.0	5224	2.82	-2.59	-2.59	0.26		-0.47	-2.42
BD+23_3130	J.P.Fulbright+,ApJ, 595, 1154, 2003	17 32 41.60	+23 44 12.0	5175	2.96	-2.7	-2.7				-2.49
BD+23_3130	Y.Takeda+,PASJ, 63, S537, 2011	17 32 41.60	+23 44 12.0	5000	2.2	-2.6	-2.6				-2.6
BD+23_3130	T.V.Mishenina+,AAP, 396, 189, 2002	17 32 41.60	+23 44 12.0			-2.61	-2.61				-2.61
BD+23_3130	T.V.Mishenina+,AAP, 370, 951, 2001	17 32 41.60	+23 44 12.0	5100	2.25	-2.62	-2.62			-0.51	-2.62
BD+23_3130	G.Israelian+,ApJ, 551, 833, 2001	17 32 41.60	+23 44 12.0								-2.43
BD+23_3130	J.P.Fulbright+,AJ, 120, 1841, 2000	17 32 41.60	+23 44 12.0	5000	2.2	-2.6	-2.6			-0.6	-2.68
BD+23_3130	D.K.Lai+,ApJ, 681, 1524, 2008	17 32 41.60	+23 44 12.0	5285	2.83	-2.6	-2.6	0.2	0.3	-0.52	-2.58
BD+23_3130	G.Israelian+,AAP, 421, 649, 2004			5154	2.93	-2.66	-2.66				-2.49
BD+23_3130	R.Cayrel+,NewAR, 45, 533, 2001	17 32 41.60	+23 44 12.0	5150	2.6	-2.62	-2.62				-2.62
BD+24_1676	A.M.Boesgaard+,ApJ, 743, 140, 2011			6125	3.74	-2.55	-2.55				-2.55
BD+24_1676	A.Hosford+,AAP, 493, 601, 2009	07 30 41.26	+24 05 10.2	6296	4.47	-2.53	-2.53				-2.6
BD+24_1676	R.Smiljanic+,AAP, 646, A70, 2021	07 30 41.26	+24 05 10.23	6500	4.05	-2.35	-2.35				-2.35
BD+24_1676	E.Arnone+,AAP, 430, 507, 2005	07 30 41.26	+24 05 10.2	6170	3.7						-2.6
BD+24_1676	I.U.Roederer+,AJ, 147, 136, 2014	07 30 41.26	+24 05 10.2	6140	3.75	-2.54	-2.54	0.46	<0.61	-0.44	-2.7
BD+24_1676	I.I.Ivans+,ApJ, 592, 906, 2003	07 30 41.26	+24 05 10.2	6250	3.45	-2.49	-2.49		<2.18	-0.56	-2.48
BD+24_1676	C.Charbonnel+,AAP, 442, 961, 2005	07 30 41.26	+24 05 10.2	6250	3.85	-2.65	-2.65				-2.65
BD+24_1676	D.K.Lai+,ApJ, 681, 1524, 2008	07 30 41.26	+24 05 10.2	6241	3.81	-2.6	-2.6	0.5	<0.58	-0.38	-2.63
BD+24_1676	J.Melendez+,AAP, 515, L3, 2010	07 30 41.26	+24 05 10.2	6387	3.84	-2.54	-2.54				-2.54
