# object_id,reference,teff,logg,[Fe/H],[C/Fe]_1D,[C/Fe]_3D 
CS22968-029,I.U.Roederer+_AJ_147_136_2014,5760,3.50,-3.10,0.46,0.04
CS29493-023,I.U.Roederer+_AJ_147_136_2014,5980,3.65,-2.89,0.41,0.04
CS29493-050,I.U.Roederer+_AJ_147_136_2014,6270,3.80,-2.92,0.84,0.48
CS29493-062,I.U.Roederer+_AJ_147_136_2014,5520,3.40,-2.76,0.26,-0.09
CS29493-094,I.U.Roederer+_AJ_147_136_2014,6130,3.80,-2.66,0.31,-0.02
CS29495-005,I.U.Roederer+_AJ_147_136_2014,5990,3.75,-2.44,0.14,-0.16
CS29495-042,J.A.Johnson+_ApJ_658_1203_2007,5400,3.32,-2.28,1.11,0.84
CS29497-030,I.I.Ivans+_ApJ_627_L145_2005,7000,4.10,-2.57,2.60,2.29
CS29497-030,I.U.Roederer+_AJ_147_136_2014,7000,4.00,-2.52,2.37,2.06
CS29497-030,J.A.Johnson+_ApJ_658_1203_2007,7163,4.20,-2.18,2.11,1.84
CS29497-030,C.Sneden+_ApJ_592_504_2003,7050,4.20,-2.16,2.16,1.89
CS29497-030,T.Sivarani+_AAP_413_1073_2004,6650,3.50,-2.77,2.54,2.19
CS29497-040,D.K.Lai+_ApJ_667_1185_2007,5487,3.41,-2.63,0.31,-0.02
